Source,Target,Volume,Direction
Arbitrum One,Avalanche,793106.87,outbound
Arbitrum One,Berachain,105266164.32,outbound
Arbitrum One,BNB Chain,64238.06,outbound
Arbitrum One,Celo,24735955.32,outbound
Arbitrum One,Conflux eSpace,11463626.54,outbound
Arbitrum One,Corn,2000890.25,outbound
Arbitrum One,Ethereum,5999223873.24,outbound
Arbitrum One,Flare,125850897.88,outbound
Arbitrum One,Hedera,259539.31,outbound
Arbitrum One,HyperEVM,490436526.71,outbound
Arbitrum One,Ink,267532611.92,outbound
Arbitrum One,Mantle,15812230.93,outbound
Arbitrum One,MegaETH,14429013.93,outbound
Arbitrum One,Monad,88158796.41,outbound
Arbitrum One,Morph,5132.85,outbound
Arbitrum One,Optimism,50496949.37,outbound
Arbitrum One,Plasma,1482982228.45,outbound
Arbitrum One,Polygon PoS,125058131.88,outbound
Arbitrum One,Rootstock,9940586.88,outbound
Arbitrum One,Sei,240768684.26,outbound
Arbitrum One,Solana,27012225.74,outbound
Arbitrum One,Stable,9085712.99,outbound
Arbitrum One,Stellar,1502.15,outbound
Arbitrum One,Tempo,9061815.62,outbound
Arbitrum One,TON,5795849.38,outbound
Arbitrum One,Tron,291491044.59,outbound
Arbitrum One,Unichain,752500046.21,outbound
Arbitrum One,XLayer,123914237,outbound
Avalanche,Arbitrum One,1100749.16,outbound
Avalanche,BNB Chain,2641871.59,outbound
Avalanche,Celo,992223.61,outbound
Avalanche,Conflux eSpace,388.91,outbound
Avalanche,Ethereum,30405374.54,outbound
Avalanche,HyperEVM,4782976.74,outbound
Avalanche,Ink,17107.54,outbound
Avalanche,Monad,23288387.56,outbound
Avalanche,Plasma,914410.51,outbound
Avalanche,Polygon PoS,4400.64,outbound
Avalanche,Solana,17897359.21,outbound
Avalanche,Stable,31.76,outbound
Avalanche,TON,811639.58,outbound
Berachain,Arbitrum One,105700516.11,outbound
Berachain,Conflux eSpace,20.36,outbound
Berachain,Corn,137054.1,outbound
Berachain,Ethereum,858486498.08,outbound
Berachain,Flare,8787162.77,outbound
Berachain,Hedera,3003.5,outbound
Berachain,HyperEVM,7166273.42,outbound
Berachain,Ink,6997361.9,outbound
Berachain,Mantle,30202,outbound
Berachain,MegaETH,2591674.89,outbound
Berachain,Monad,13624958.82,outbound
Berachain,Morph,0,outbound
Berachain,Optimism,14894179.91,outbound
Berachain,Plasma,27226258.62,outbound
Berachain,Polygon PoS,9101129.61,outbound
Berachain,Rootstock,23942.76,outbound
Berachain,Sei,10562525.21,outbound
Berachain,Stable,17606.85,outbound
Berachain,Stellar,1,outbound
Berachain,Tempo,237.23,outbound
Berachain,Unichain,13223594.11,outbound
Berachain,XLayer,1709594.15,outbound
BNB Chain,Arbitrum One,63471.2,outbound
BNB Chain,Avalanche,10776.29,outbound
BNB Chain,Celo,6322.51,outbound
BNB Chain,Conflux eSpace,22376.9,outbound
BNB Chain,Ethereum,641054.44,outbound
BNB Chain,HyperEVM,15505.77,outbound
BNB Chain,Ink,499.77,outbound
BNB Chain,Monad,312623.5,outbound
BNB Chain,Plasma,19563.68,outbound
BNB Chain,Polygon PoS,1632.8,outbound
BNB Chain,Solana,4744.02,outbound
BNB Chain,Stable,10858.41,outbound
Celo,Arbitrum One,9310037.57,outbound
Celo,Avalanche,312481.9,outbound
Celo,BNB Chain,2185.62,outbound
Celo,Ethereum,23031055.01,outbound
Celo,HyperEVM,1973.63,outbound
Celo,Ink,494.01,outbound
Celo,Monad,386767.82,outbound
Celo,Plasma,34413.46,outbound
Celo,Polygon PoS,2159.79,outbound
Celo,Solana,320659.76,outbound
Celo,Stable,0,outbound
Celo,TON,627.15,outbound
Celo,Tron,4475392.78,outbound
Conflux eSpace,Arbitrum One,10029018.99,outbound
Conflux eSpace,Avalanche,13137.29,outbound
Conflux eSpace,Berachain,128.12,outbound
Conflux eSpace,BNB Chain,1711.38,outbound
Conflux eSpace,Corn,0,outbound
Conflux eSpace,Ethereum,15392477.52,outbound
Conflux eSpace,Hedera,0,outbound
Conflux eSpace,HyperEVM,31.84,outbound
Conflux eSpace,Ink,2.2,outbound
Conflux eSpace,Mantle,1,outbound
Conflux eSpace,MegaETH,0,outbound
Conflux eSpace,Monad,12263380.12,outbound
Conflux eSpace,Morph,0,outbound
Conflux eSpace,Optimism,5091.12,outbound
Conflux eSpace,Plasma,93674.89,outbound
Conflux eSpace,Polygon PoS,2054291.67,outbound
Conflux eSpace,Rootstock,0,outbound
Conflux eSpace,Sei,0,outbound
Conflux eSpace,Stable,0,outbound
Conflux eSpace,Tempo,0,outbound
Conflux eSpace,Unichain,332.36,outbound
Conflux eSpace,XLayer,6957,outbound
Corn,Arbitrum One,1318475.63,outbound
Corn,Berachain,166273.15,outbound
Corn,Conflux eSpace,0,outbound
Corn,Ethereum,10751018.2,outbound
Corn,Flare,26045.09,outbound
Corn,Hedera,0,outbound
Corn,HyperEVM,68180.41,outbound
Corn,Ink,9115.51,outbound
Corn,Mantle,0,outbound
Corn,MegaETH,0,outbound
Corn,Monad,308.05,outbound
Corn,Morph,0,outbound
Corn,Optimism,156075.24,outbound
Corn,Plasma,11696373.76,outbound
Corn,Polygon PoS,12920.37,outbound
Corn,Rootstock,1261.39,outbound
Corn,Sei,18389.3,outbound
Corn,Stable,1028.31,outbound
Corn,Tempo,0,outbound
Corn,Unichain,244224.4,outbound
Corn,XLayer,355.91,outbound
Ethereum,Arbitrum One,6973148703.77,outbound
Ethereum,Avalanche,30098651.17,outbound
Ethereum,Berachain,901320152.78,outbound
Ethereum,BNB Chain,55808324.01,outbound
Ethereum,Celo,16550561.91,outbound
Ethereum,Conflux eSpace,13157591.75,outbound
Ethereum,Corn,21483900.19,outbound
Ethereum,Flare,679924117.04,outbound
Ethereum,Hedera,114480.08,outbound
Ethereum,HyperEVM,978290079.16,outbound
Ethereum,Ink,1293641387.66,outbound
Ethereum,Mantle,2029839438.15,outbound
Ethereum,MegaETH,110593219.09,outbound
Ethereum,Monad,600546142.99,outbound
Ethereum,Morph,5139719.23,outbound
Ethereum,Optimism,87832937.15,outbound
Ethereum,Plasma,27242442103.49,outbound
Ethereum,Polygon PoS,2332059428.25,outbound
Ethereum,Rootstock,10848942.65,outbound
Ethereum,Sei,96783833.09,outbound
Ethereum,Solana,84951314.54,outbound
Ethereum,Stable,1360700829.48,outbound
Ethereum,Stellar,2593532.54,outbound
Ethereum,Tempo,15715552.2,outbound
Ethereum,TON,70684377.6,outbound
Ethereum,Tron,2896486766.63,outbound
Ethereum,Unichain,1543687779.07,outbound
Ethereum,XLayer,369422611.03,outbound
Flare,Arbitrum One,170108228.08,outbound
Flare,Berachain,5141171.1,outbound
Flare,Corn,81513.88,outbound
Flare,Ethereum,621471209.79,outbound
Flare,Hedera,3303.4,outbound
Flare,HyperEVM,12091639.6,outbound
Flare,Ink,597096.88,outbound
Flare,Mantle,403476.18,outbound
Flare,MegaETH,146454.08,outbound
